key,enabled,identity,password,username
user-account-anonymous-01,false,"UserIdentity{name: 'John', surname: 'Doe', email: 'john.doe@acme.com'}",HIDDEN-PASSWORD,anonymous
user-account-auditor-01,true,"UserIdentity{name: 'auditor', surname: '1', email: 'auditor01@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'auditor', surname: '2', email: 'auditor02@acme.com'}",auditor2,auditor2
user-account-administrator-01,true,"UserIdentity{name: 'Administrator', surname: 'Acme', email: 'administrator@acme.com'}",administrator1,administrator1
user-account-administrator-02,true,"UserIdentity{name: 'Administrator', surname: 'Acme', email: 'administrator2@acme.com'}",administrator2,administrator2
user-account-student-01,true,"UserIdentity{name: 'Student1', surname: 'One', email: 'student1@acme.com'}",student1,student1
user-account-student-02,true,"UserIdentity{name: 'Student2', surname: 'Two', email: 'student2@acme.com'}",student2,student2
user-account-company-01,true,"UserIdentity{name: 'Company1', surname: 'Acme', email: 'company2@mail.com'}",company1,company1
user-account-company-02,true,"UserIdentity{name: 'Company2', surname: 'Acme', email: 'company2@mail.com'}",company2,company2
user-account-lecturer-1,true,"UserIdentity{name: 'Lecturer', surname: 'Acme', email: 'lecturer1@acme.com'}",lecturer1,lecturer1
user-account-lecturer-2,true,"UserIdentity{name: 'Lecturer', surname: 'Acme', email: 'lecturer2@acme.com'}",lecturer2,lecturer2
user-account-assistant-1,true,"UserIdentity{name: 'Assistant', surname: 'Acme', email: 'assistant1@acme.com'}",assistant1,assistant1
user-account-assistant-2,true,"UserIdentity{name: 'Assistant', surname: 'Acme', email: 'assistant2@acme.com'}",assistant2,assistant2
